"Rk","Name","G","PA","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Notes","Team","Year"
1,"Connor Bertsch",3,10,8,1,1,0,0,0,0,0,0,2,3,0.125,0.3,0.125,0.425,1,NA,0,0,0,0,NA,"809cb865",2023
2,"Brandon Butterworth",31,130,110,17,34,8,0,2,15,8,3,18,14,0.309,0.415,0.436,0.852,48,NA,2,0,0,1,NA,"809cb865",2023
3,"Luke Cantwell",30,128,90,22,21,1,0,2,11,10,0,27,23,0.233,0.453,0.311,0.764,28,NA,10,0,1,0,NA,"809cb865",2023
4,"Tyler Cox",32,111,86,17,21,2,0,0,4,2,0,22,16,0.244,0.404,0.267,0.671,23,NA,1,2,0,0,NA,"809cb865",2023
5,"Evan Fox",20,72,54,13,8,4,0,0,9,14,1,10,8,0.148,0.319,0.222,0.542,12,NA,5,0,3,0,NA,"809cb865",2023
6,"Nate Goranson",22,85,67,10,14,4,0,1,12,1,0,12,24,0.209,0.377,0.313,0.69,21,NA,6,0,0,0,NA,"809cb865",2023
7,"Jace Jeremiah",28,81,70,10,13,1,0,0,6,3,0,10,21,0.186,0.288,0.2,0.488,14,NA,0,1,0,0,NA,"809cb865",2023
8,"Andre Martinez",10,29,20,0,4,0,0,0,3,0,1,2,6,0.2,0.393,0.2,0.593,4,NA,5,1,1,0,NA,"809cb865",2023
9,"Jack Renwick",26,67,57,10,15,1,0,0,6,2,1,8,16,0.263,0.364,0.281,0.644,16,NA,1,1,0,0,NA,"809cb865",2023
10,"George Rosales",23,85,58,15,15,3,0,3,13,4,2,15,21,0.259,0.459,0.466,0.924,27,NA,9,0,3,0,NA,"809cb865",2023
11,"Santino Rosso",34,142,119,19,31,9,3,4,25,4,3,20,24,0.261,0.362,0.487,0.849,58,NA,0,1,2,0,NA,"809cb865",2023
12,"Cam Santerre",11,47,37,7,9,1,0,0,5,6,0,7,9,0.243,0.404,0.27,0.675,10,NA,3,0,0,0,NA,"809cb865",2023
13,"Nate Stocum",30,92,79,13,19,4,1,5,19,1,0,9,18,0.241,0.326,0.506,0.832,40,NA,2,0,2,1,NA,"809cb865",2023
14,"Marshall Toole",38,142,120,27,35,6,0,0,16,21,2,18,27,0.292,0.389,0.342,0.73,41,NA,1,3,0,0,NA,"809cb865",2023
15,"Grant Voytovich",24,96,66,14,14,2,0,0,9,9,1,19,25,0.212,0.442,0.242,0.685,16,NA,9,1,1,1,NA,"809cb865",2023
16,"Nathan Waugh",26,90,75,15,16,6,0,2,12,2,0,11,28,0.213,0.333,0.373,0.707,28,NA,3,0,1,0,NA,"809cb865",2023
17,"Tyler Wells",3,10,8,1,1,0,0,0,0,1,0,2,2,0.125,0.3,0.125,0.425,1,NA,0,0,0,0,NA,"809cb865",2023
18,"Aaron Whitley",21,82,71,13,20,3,0,1,10,9,0,5,12,0.282,0.354,0.366,0.72,26,NA,4,0,2,0,NA,"809cb865",2023
19,"T.J. Williams",29,120,100,24,33,6,1,2,19,18,2,11,17,0.33,0.419,0.47,0.889,47,NA,5,3,1,0,NA,"809cb865",2023
