,#,Player,Yr,Pos,Ht,B/T,App,GS,ERA,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs,team_name,stat_type,Player_School
0,26,Jacob Burnham,Fr,P,6-0,R/L,3.0,,10.8,3.1,,5.0,4.0,4.0,3.0,2.0,,19.0,15.0,,,,3.0,1.0,1.0,,2.0,2.0,,,56.0,1.0,7.0,,,,2.0,,Boston College,pitching,Jacob BurnhamBoston College
11,54,Karl Meyer,Sr,P,6-3,R/R,5.0,,20.25,4.0,,13.0,9.0,9.0,6.0,4.0,,31.0,23.0,3.0,,,,1.0,1.0,,6.0,5.0,1.0,,110.0,3.0,4.0,,,,2.0,1.0,Boston College,pitching,Karl MeyerBoston College
22,49,Peter Schaefer,Sr,P,6-0,L/R,6.0,,10.29,7.0,,13.0,8.0,8.0,5.0,12.0,,42.0,34.0,4.0,,,1.0,1.0,3.0,,4.0,1.0,,,127.0,3.0,6.0,,1.0,,5.0,,Boston College,pitching,Peter SchaeferBoston College
32,37,John Kwiatkowski,Jr,P,6-6,L/L,5.0,,9.0,4.0,,7.0,4.0,4.0,2.0,4.0,,21.0,18.0,3.0,,,,1.0,,,9.0,4.0,,1.0,50.0,3.0,5.0,,,,1.0,,Boston College,pitching,John KwiatkowskiBoston College
43,30,JD Ogden,Sr,P,6-5,B/L,6.0,,3.48,10.1,,10.0,5.0,4.0,3.0,13.0,,44.0,39.0,1.0,,,1.0,,2.0,,,,,,150.0,11.0,5.0,,,,3.0,,Boston College,pitching,JD OgdenBoston College
53,50,Joey Ryan,Sr,P,6-5,L/R,6.0,,2.51,14.1,,10.0,4.0,4.0,4.0,18.0,,59.0,51.0,2.0,,,,,4.0,,5.0,2.0,,,194.0,9.0,14.0,1.0,,3.0,2.0,,Boston College,pitching,Joey RyanBoston College
64,47,Matthew Spada,Jr,P,6-1,L/L,3.0,,40.5,0.2,,3.0,3.0,3.0,1.0,1.0,,6.0,5.0,,,,,,,,2.0,1.0,,,27.0,,1.0,1.0,,,,,Boston College,pitching,Matthew SpadaBoston College
74,23,Brady Miller,Fr,P,6-5,R/L,4.0,1.0,5.91,10.2,,11.0,7.0,7.0,3.0,12.0,,46.0,39.0,1.0,,,1.0,1.0,2.0,,,,1.0,1.0,176.0,7.0,11.0,1.0,,,5.0,,Boston College,pitching,Brady MillerBoston College
84,17,Gavin Soares,Fr,P,6-3,R/R,6.0,,2.08,8.2,,5.0,2.0,2.0,2.0,11.0,,33.0,30.0,1.0,,,1.0,1.0,,,,,1.0,,102.0,7.0,7.0,1.0,,,3.0,1.0,Boston College,pitching,Gavin SoaresBoston College
94,24,Cesar Gonzalez,Fr,C,5-9,R/R,6.0,,10.38,8.2,,12.0,16.0,10.0,4.0,6.0,,48.0,40.0,2.0,1.0,,3.0,1.0,4.0,,2.0,,,,167.0,12.0,6.0,2.0,,,2.0,,Boston College,pitching,Cesar GonzalezBoston College
