team_id,team_name,team_url,conference_id,conference,division,year,season_id
NA,Boston College,/teams/596496,821,ACC,1,2025,NA
NA,California,/teams/596511,821,ACC,1,2025,NA
NA,Clemson,/teams/596523,821,ACC,1,2025,NA
NA,Duke,/teams/596708,821,ACC,1,2025,NA
NA,Florida St.,/teams/596545,821,ACC,1,2025,NA
NA,Georgia Tech,/teams/596553,821,ACC,1,2025,NA
NA,Louisville,/teams/596585,821,ACC,1,2025,NA
NA,Miami (FL),/teams/596600,821,ACC,1,2025,NA
NA,NC State,/teams/596628,821,ACC,1,2025,NA
NA,North Carolina,/teams/596614,821,ACC,1,2025,NA
NA,Notre Dame,/teams/596637,821,ACC,1,2025,NA
NA,Pittsburgh,/teams/596649,821,ACC,1,2025,NA
NA,Stanford,/teams/596688,821,ACC,1,2025,NA
NA,Virginia,/teams/596439,821,ACC,1,2025,NA
NA,Virginia Tech,/teams/596438,821,ACC,1,2025,NA
NA,Wake Forest,/teams/596441,821,ACC,1,2025,NA
NA,Austin Peay,/teams/596490,920,ASUN,1,2025,NA
NA,Bellarmine,/teams/596693,920,ASUN,1,2025,NA
NA,Central Ark.,/teams/596457,920,ASUN,1,2025,NA
NA,Eastern Ky.,/teams/596538,920,ASUN,1,2025,NA
NA,FGCU,/teams/596473,920,ASUN,1,2025,NA
NA,Jacksonville,/teams/596572,920,ASUN,1,2025,NA
NA,Lipscomb,/teams/596472,920,ASUN,1,2025,NA
NA,North Ala.,/teams/596475,920,ASUN,1,2025,NA
NA,North Florida,/teams/596467,920,ASUN,1,2025,NA
NA,Queens (NC),/teams/596696,920,ASUN,1,2025,NA
NA,Stetson,/teams/596720,920,ASUN,1,2025,NA
NA,West Ga.,/teams/596947,920,ASUN,1,2025,NA
NA,Binghamton,/teams/596495,845,America East,1,2025,NA
NA,Bryant,/teams/596501,845,America East,1,2025,NA
NA,Maine,/teams/596588,845,America East,1,2025,NA
NA,NJIT,/teams/596621,845,America East,1,2025,NA
NA,UAlbany,/teams/596482,845,America East,1,2025,NA
NA,UMBC,/teams/596592,845,America East,1,2025,NA
NA,UMass Lowell,/teams/596586,845,America East,1,2025,NA
NA,Davidson,/teams/596531,820,Atlantic 10,1,2025,NA
NA,Dayton,/teams/596532,820,Atlantic 10,1,2025,NA
NA,Fordham,/teams/596547,820,Atlantic 10,1,2025,NA
NA,George Mason,/teams/596548,820,Atlantic 10,1,2025,NA
NA,George Washington,/teams/596549,820,Atlantic 10,1,2025,NA
NA,Massachusetts,/teams/596595,820,Atlantic 10,1,2025,NA
NA,Rhode Island,/teams/596656,820,Atlantic 10,1,2025,NA
NA,Richmond,/teams/596658,820,Atlantic 10,1,2025,NA
NA,Saint Joseph's,/teams/596663,820,Atlantic 10,1,2025,NA
NA,Saint Louis,/teams/596664,820,Atlantic 10,1,2025,NA
NA,St. Bonaventure,/teams/596662,820,Atlantic 10,1,2025,NA
NA,VCU,/teams/596436,820,Atlantic 10,1,2025,NA
NA,Arizona,/teams/596706,25354,Big 12,1,2025,NA
NA,Arizona St.,/teams/596485,25354,Big 12,1,2025,NA
NA,BYU,/teams/596499,25354,Big 12,1,2025,NA
NA,Baylor,/teams/596493,25354,Big 12,1,2025,NA
NA,Cincinnati,/teams/596521,25354,Big 12,1,2025,NA
NA,Houston,/teams/596561,25354,Big 12,1,2025,NA
NA,Kansas,/teams/596575,25354,Big 12,1,2025,NA
NA,Kansas St.,/teams/596574,25354,Big 12,1,2025,NA
NA,Oklahoma St.,/teams/596714,25354,Big 12,1,2025,NA
NA,TCU,/teams/596421,25354,Big 12,1,2025,NA
NA,Texas Tech,/teams/596423,25354,Big 12,1,2025,NA
NA,UCF,/teams/596519,25354,Big 12,1,2025,NA
NA,Utah,/teams/596432,25354,Big 12,1,2025,NA
NA,West Virginia,/teams/596444,25354,Big 12,1,2025,NA
NA,Butler,/teams/596503,30184,Big East,1,2025,NA
NA,Creighton,/teams/596529,30184,Big East,1,2025,NA
