Player,P,AVG,G,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SF,SH,SB,CS,DP,E,Team,1B,PA,OBP,SLG,OPS,wOBA
"Muzio, J",IF,0.429,3,7,2,3,1,0,0,0,3,0,1,0,0,0,0,1,0,BRI_B,2,10,0.6,0.5714285714285714,1.1714285714285713,0.507
"Milner, B",C,0.341,22,44,9,15,4,0,1,11,8,3,15,0,0,4,1,0,6,BRI_B,10,55,0.4727272727272727,0.5,0.9727272727272727,0.426
"Greger, G",CF,0.333,31,87,21,29,7,1,0,11,5,2,21,0,1,9,2,0,1,BRI_B,21,95,0.37894736842105264,0.4367816091954023,0.8157289776164549,0.357
"Brenner, E",OF,0.326,31,89,13,29,5,3,0,15,21,7,14,0,2,12,2,1,2,BRI_B,21,119,0.4789915966386555,0.449438202247191,0.9284297988858465,0.418
"Petersen, M",OF,0.323,30,93,21,30,7,0,2,17,13,3,23,2,2,10,3,0,2,BRI_B,21,113,0.40707964601769914,0.46236559139784944,0.8694452374155486,0.381
"Rollauer, T",OF,0.309,29,68,18,21,2,0,0,9,15,5,15,1,3,6,1,2,0,BRI_B,19,92,0.44565217391304346,0.3382352941176471,0.7838874680306905,0.372
"Droze, C",RF,0.3,6,20,3,6,3,0,0,2,2,0,10,1,1,0,1,0,0,BRI_B,3,24,0.3333333333333333,0.45,0.7833333333333333,0.337
"Ferrara, D",SS,0.296,37,125,19,37,1,0,0,18,18,3,20,2,1,5,1,2,5,BRI_B,36,149,0.38926174496644295,0.304,0.6932617449664429,0.321
"Sullivan, B",C,0.296,31,71,13,21,5,0,1,15,15,1,14,1,0,2,1,1,0,BRI_B,15,88,0.42045454545454547,0.4084507042253521,0.8289052496798976,0.369
"Peyton, J",SS,0.281,39,146,22,41,3,0,0,12,11,6,22,2,1,12,2,5,6,BRI_B,38,166,0.3493975903614458,0.3013698630136986,0.6507674533751444,0.297
"Lazits, A",OF,0.271,33,85,22,23,5,1,1,14,15,9,22,1,1,8,1,0,0,BRI_B,16,111,0.42342342342342343,0.38823529411764707,0.8116587175410706,0.37
